alertid,date,time,sessionduration,spoofed,category,address,sport,Address category,Address address,dport,Service name,impact,version,Alert version,ident,name
26,03/07/2000,10:50:01,00:00:05,unknown,ipv4-addr,202.77.162.213,1536,ipv4-addr,172.16.115.20,23,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
27,03/07/2000,10:50:02,00:00:00,unknown,ipv4-addr,172.16.115.20,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
28,03/07/2000,10:50:02,00:00:01,unknown,ipv4-addr,172.16.115.20,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
29,03/07/2000,10:50:03,00:00:01,unknown,ipv4-addr,172.16.115.20,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
30,03/07/2000,10:50:04,00:00:01,unknown,ipv4-addr,172.16.115.20,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
31,03/07/2000,10:50:05,00:00:02,unknown,ipv4-addr,202.77.162.213,1023,ipv4-addr,172.16.115.20,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
32,03/07/2000,10:50:07,00:00:00,unknown,ipv4-addr,172.16.115.20,1023,ipv4-addr,202.77.162.213,1022,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
33,03/07/2000,10:50:21,00:00:01,unknown,ipv4-addr,202.77.162.213,1537,ipv4-addr,172.16.112.10,23,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
34,03/07/2000,10:50:21,00:00:00,unknown,ipv4-addr,202.77.162.213,1021,ipv4-addr,172.16.115.20,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
35,03/07/2000,10:50:21,00:00:00,unknown,ipv4-addr,172.16.115.20,1022,ipv4-addr,202.77.162.213,1020,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
36,03/07/2000,10:50:21,00:00:00,unknown,ipv4-addr,172.16.112.10,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
37,03/07/2000,10:50:21,00:00:01,unknown,ipv4-addr,172.16.112.10,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
38,03/07/2000,10:50:37,00:00:01,unknown,ipv4-addr,202.77.162.213,1565,ipv4-addr,172.16.112.50,23,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
39,03/07/2000,10:50:37,00:00:00,unknown,ipv4-addr,202.77.162.213,1019,ipv4-addr,172.16.112.10,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
40,03/07/2000,10:50:37,00:00:00,unknown,ipv4-addr,172.16.112.10,1023,ipv4-addr,202.77.162.213,1018,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
41,03/07/2000,10:50:38,00:00:00,unknown,ipv4-addr,172.16.112.50,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
42,03/07/2000,10:50:38,00:00:00,unknown,ipv4-addr,172.16.112.50,1023,ipv4-addr,202.77.162.213,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
43,03/07/2000,10:50:53,00:00:00,unknown,ipv4-addr,202.77.162.213,1017,ipv4-addr,172.16.112.50,514,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
44,03/07/2000,10:50:53,00:00:00,unknown,ipv4-addr,172.16.112.50,1023,ipv4-addr,202.77.162.213,1016,tcp,unknown,0.1,1,tcpdump_dmz,tcpdump_dmz
