alertid,date,time,sessionduration,spoofed,category,address,sport,Address category,Address address,dport,Service name,impact,version,Alert version,ident,name
45,03/07/2000,09:51:36,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.115.5,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
46,03/07/2000,09:51:36,00:00:05,unknown,ipv4-addr,172.16.112.194,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
47,03/07/2000,09:51:36,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.115.20,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
48,03/07/2000,09:51:36,00:00:00,unknown,ipv4-addr,172.16.115.20,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
49,03/07/2000,09:51:38,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.115.87,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
50,03/07/2000,09:51:38,00:00:00,unknown,ipv4-addr,172.16.115.87,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
51,03/07/2000,09:51:41,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.115.234,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
52,03/07/2000,09:51:50,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.113.50,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
53,03/07/2000,09:51:50,00:00:00,unknown,ipv4-addr,172.16.113.50,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
54,03/07/2000,09:51:51,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.113.84,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
55,03/07/2000,09:51:51,00:00:09,unknown,ipv4-addr,172.16.112.194,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
56,03/07/2000,09:51:51,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.113.105,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
57,03/07/2000,09:51:51,00:00:00,unknown,ipv4-addr,172.16.113.105,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
58,03/07/2000,09:51:52,00:00:00,unknown,ipv4-addr,202.77.162.213,,ipv4-addr,172.16.113.148,,icmp-echo-request,unknown,0.1,1,tcpdump_inside,tcpdump_inside
59,03/07/2000,09:51:52,00:00:00,unknown,ipv4-addr,172.16.113.148,,ipv4-addr,202.77.162.213,,icmp-echo-reply,unknown,0.1,1,tcpdump_inside,tcpdump_inside
